object Path ,classification, Template Name
Model.'Slag Mill & Flotation (SC&EF)'.'To SCF Slag Tailings',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'Concentrate (Dispatch Stock)',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.'WACS Bin'.Input,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.'WACS Bin'.'To Process',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (WACS)'.'WACS Bin'.'Closing Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.'Slag Mill & Flotation (WACS)'.'WACS Bin'.'Opening Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.'Slag Mill & Flotation (WACS)'.'WACS Bin',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.Process,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.Recoveries,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.'WACS Conc',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.'WACS Conc (Despatched to WS)',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.'WACS Tails',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.Checks.'Overall Recovery',OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.'Slag Mill & Flotation (WACS)'.Checks.'Process Recovery',OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.'Slag Mill & Flotation (WACS)'.Checks.Accountability,OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.'Slag Mill & Flotation (WACS)'.Checks,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (WACS)'.'WACS Conc (Dispatch Stock)',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (WACS)',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.MCM.'WCM Bin'.'Toll Required',OIC0_STDC0_AFDC0_PC0_OLI0,Object
Model.MCM.'WCM Bin'.'Opening Stock',OIC1_STDC0_AFDC2_PC0_OLI0,ACP Opening Stock-ACP
Model.MCM.'WCM Bin'.Received,OIC1_STDC0_AFDC2_PC0_OLI0,ACP Stockpile-ACP
Model.MCM.'WCM Bin'.'To Plant',OIC1_STDC0_AFDC2_PC0_OLI0,ACP Stockpile-ACP
Model.MCM.'WCM Bin'.'Tolled In',OIC1_STDC0_AFDC0_PC0_OLI0,ACP Stockpile-ACP
